epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1678.97,0.72906,0.99928,1.09872,0.85405,0.89722,0.91968,0.76468,0.66772,0.79799,1.07979,0.0005941,0.0005941,0.0005941
43,1718.15,0.72133,0.99799,1.09964,0.86839,0.88631,0.92868,0.77307,0.66872,0.77531,1.08015,0.0005842,0.0005842,0.0005842
44,1757.51,0.72712,0.98861,1.09156,0.88702,0.87152,0.92665,0.76995,0.67503,0.78653,1.08091,0.0005743,0.0005743,0.0005743
45,1799.08,0.71628,0.97354,1.09203,0.8815,0.87602,0.92374,0.76866,0.67351,0.78575,1.08068,0.0005644,0.0005644,0.0005644
46,1838.11,0.71619,0.95853,1.09116,0.8616,0.87447,0.92244,0.76702,0.66759,0.79824,1.07918,0.0005545,0.0005545,0.0005545
47,1877.18,0.71418,0.93861,1.08897,0.87914,0.87526,0.93148,0.77637,0.66652,0.78015,1.07565,0.0005446,0.0005446,0.0005446
48,1916.44,0.71268,0.95041,1.09299,0.88216,0.89167,0.93398,0.78167,0.66812,0.76357,1.0772,0.0005347,0.0005347,0.0005347
49,1955.47,0.71382,0.94648,1.08669,0.90662,0.86545,0.93392,0.78161,0.65833,0.75074,1.0736,0.0005248,0.0005248,0.0005248
50,1996.56,0.71356,0.93958,1.09123,0.90421,0.87488,0.9363,0.78339,0.65583,0.74308,1.0673,0.0005149,0.0005149,0.0005149
51,2035.88,0.70428,0.9292,1.08948,0.88449,0.89276,0.94041,0.78799,0.65609,0.74042,1.06983,0.000505,0.000505,0.000505
52,2075.26,0.71139,0.92147,1.08637,0.89332,0.88325,0.93699,0.786,0.65829,0.74296,1.06739,0.0004951,0.0004951,0.0004951
53,2114.82,0.70063,0.90773,1.0821,0.86863,0.92076,0.9422,0.79096,0.64912,0.72478,1.06478,0.0004852,0.0004852,0.0004852
54,2153.68,0.70819,0.90787,1.07985,0.89486,0.8929,0.93891,0.78423,0.66027,0.74526,1.06807,0.0004753,0.0004753,0.0004753
55,2192.4,0.70891,0.91778,1.08599,0.90391,0.88506,0.93966,0.79244,0.64768,0.73605,1.06362,0.0004654,0.0004654,0.0004654
56,2233.8,0.6991,0.90175,1.08598,0.88162,0.90135,0.94022,0.79104,0.64671,0.73787,1.06146,0.0004555,0.0004555,0.0004555
57,2275.07,0.7095,0.89843,1.08675,0.87882,0.89053,0.93662,0.78859,0.64951,0.74252,1.06427,0.0004456,0.0004456,0.0004456
58,2313.72,0.69623,0.89629,1.07883,0.90872,0.89273,0.94297,0.79592,0.6426,0.71516,1.06015,0.0004357,0.0004357,0.0004357
59,2352.06,0.69873,0.88977,1.08258,0.915,0.89384,0.94409,0.79636,0.64236,0.70661,1.05955,0.0004258,0.0004258,0.0004258
60,2390.87,0.70552,0.89648,1.08721,0.89747,0.89788,0.9422,0.79672,0.64145,0.71938,1.05798,0.0004159,0.0004159,0.0004159
61,2429.79,0.70368,0.89218,1.08136,0.89871,0.89218,0.94282,0.79441,0.64126,0.72654,1.05803,0.000406,0.000406,0.000406
62,2468.41,0.70617,0.88584,1.09059,0.91364,0.90898,0.94863,0.80101,0.63484,0.69793,1.05506,0.0003961,0.0003961,0.0003961
63,2507.25,0.68799,0.86293,1.07132,0.91491,0.89032,0.94182,0.79499,0.63482,0.70605,1.05388,0.0003862,0.0003862,0.0003862
64,2552.04,0.68099,0.86268,1.0783,0.90777,0.90201,0.94704,0.798,0.63858,0.70654,1.05558,0.0003763,0.0003763,0.0003763
65,2591.11,0.69215,0.86307,1.07246,0.94461,0.87779,0.94751,0.80259,0.63604,0.69525,1.05659,0.0003664,0.0003664,0.0003664
66,2631.14,0.69095,0.87775,1.07799,0.91377,0.89404,0.94468,0.79706,0.63421,0.70064,1.05126,0.0003565,0.0003565,0.0003565
67,2676.29,0.6886,0.85548,1.07646,0.89976,0.91335,0.94571,0.80209,0.62876,0.69433,1.04929,0.0003466,0.0003466,0.0003466
68,2714.85,0.69021,0.85399,1.07724,0.90583,0.91311,0.94474,0.80092,0.62859,0.68132,1.04891,0.0003367,0.0003367,0.0003367
69,2753.65,0.68291,0.85562,1.06835,0.91009,0.91482,0.94633,0.8033,0.62635,0.6945,1.04765,0.0003268,0.0003268,0.0003268
70,2793.13,0.68914,0.83114,1.07332,0.90939,0.90833,0.9444,0.79872,0.63035,0.69386,1.05051,0.0003169,0.0003169,0.0003169
71,2831.74,0.67812,0.83326,1.06384,0.91262,0.91048,0.9446,0.80129,0.62583,0.69477,1.04609,0.000307,0.000307,0.000307
72,2870.95,0.67415,0.83015,1.06993,0.91677,0.91051,0.94782,0.80638,0.62608,0.67685,1.04541,0.0002971,0.0002971,0.0002971
