epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2374.67,0.71341,0.97303,1.05447,0.90729,0.88041,0.93209,0.77811,0.64975,0.74846,1.00849,0.0005941,0.0005941,0.0005941
43,2426.45,0.7034,0.96445,1.05556,0.9096,0.89723,0.94621,0.7909,0.64842,0.72306,1.00583,0.0005842,0.0005842,0.0005842
44,2477.95,0.70388,0.95494,1.04742,0.92491,0.88598,0.94527,0.78937,0.64926,0.72884,1.00842,0.0005743,0.0005743,0.0005743
45,2529.24,0.7039,0.94376,1.04927,0.91579,0.88733,0.94012,0.78354,0.6522,0.72798,1.00973,0.0005644,0.0005644,0.0005644
46,2580.55,0.70567,0.93198,1.04928,0.8912,0.88869,0.94207,0.78836,0.64203,0.74409,1.00289,0.0005545,0.0005545,0.0005545
47,2632.65,0.69061,0.90712,1.04517,0.8973,0.89162,0.9402,0.78474,0.64781,0.75679,1.00522,0.0005446,0.0005446,0.0005446
48,2695.59,0.69355,0.91533,1.04895,0.92054,0.89554,0.94639,0.79085,0.64033,0.70587,1.00417,0.0005347,0.0005347,0.0005347
49,2748.77,0.69692,0.91675,1.04397,0.90367,0.88434,0.94441,0.79228,0.63366,0.73603,0.99729,0.0005248,0.0005248,0.0005248
50,2810.3,0.69254,0.90793,1.04227,0.91794,0.9032,0.94837,0.79606,0.63686,0.70154,1.00069,0.0005149,0.0005149,0.0005149
51,2872.78,0.68507,0.88933,1.04448,0.88472,0.90589,0.94314,0.79145,0.63604,0.7219,0.99957,0.000505,0.000505,0.000505
52,2936.79,0.6934,0.89329,1.04266,0.89699,0.90982,0.94836,0.79741,0.63105,0.69933,0.99576,0.0004951,0.0004951,0.0004951
53,2989.24,0.6821,0.88543,1.03887,0.9145,0.90615,0.95063,0.80324,0.62875,0.69552,0.99432,0.0004852,0.0004852,0.0004852
54,3041.39,0.68816,0.88014,1.0348,0.91032,0.89849,0.94508,0.79539,0.6358,0.71439,0.99854,0.0004753,0.0004753,0.0004753
55,3103.61,0.69208,0.87445,1.04126,0.92245,0.9089,0.9504,0.80244,0.62503,0.69307,0.99133,0.0004654,0.0004654,0.0004654
56,3155.38,0.68249,0.87261,1.0433,0.91831,0.90089,0.95078,0.80175,0.62559,0.69271,0.99178,0.0004555,0.0004555,0.0004555
57,3207.46,0.68415,0.86322,1.03865,0.93513,0.9034,0.95359,0.80605,0.62004,0.67348,0.98927,0.0004456,0.0004456,0.0004456
58,3270.06,0.68404,0.8653,1.0363,0.93228,0.89972,0.95405,0.80849,0.62016,0.6758,0.9899,0.0004357,0.0004357,0.0004357
59,3322.7,0.6848,0.85323,1.04149,0.92378,0.89081,0.95076,0.80568,0.61909,0.69285,0.98995,0.0004258,0.0004258,0.0004258
60,3375.78,0.68692,0.86141,1.04249,0.93042,0.91284,0.95629,0.81441,0.60743,0.66242,0.98245,0.0004159,0.0004159,0.0004159
61,3428.49,0.68102,0.86033,1.03892,0.91035,0.91698,0.95257,0.81059,0.61514,0.68128,0.98302,0.000406,0.000406,0.000406
62,3500.02,0.68446,0.85222,1.04338,0.9302,0.90445,0.95852,0.81334,0.61012,0.65927,0.9812,0.0003961,0.0003961,0.0003961
63,3580.27,0.66672,0.8244,1.02912,0.92146,0.90482,0.95235,0.8117,0.60874,0.65687,0.9829,0.0003862,0.0003862,0.0003862
64,3632.72,0.66082,0.8353,1.03449,0.92601,0.90658,0.95543,0.81232,0.60782,0.66234,0.97997,0.0003763,0.0003763,0.0003763
65,3696.03,0.67084,0.82903,1.02828,0.93503,0.90794,0.95767,0.82011,0.60025,0.65312,0.97831,0.0003664,0.0003664,0.0003664
66,3748.69,0.67291,0.84002,1.0356,0.93605,0.91639,0.95471,0.8143,0.60551,0.65078,0.97846,0.0003565,0.0003565,0.0003565
67,3801.18,0.67071,0.82741,1.03151,0.92421,0.90645,0.9559,0.81571,0.60157,0.65703,0.97433,0.0003466,0.0003466,0.0003466
68,3853.89,0.66339,0.8175,1.02523,0.94267,0.90391,0.95855,0.81881,0.60186,0.641,0.97486,0.0003367,0.0003367,0.0003367
69,3906.24,0.66487,0.82405,1.02655,0.92939,0.91416,0.95646,0.81609,0.59892,0.64814,0.97509,0.0003268,0.0003268,0.0003268
70,3959.09,0.6684,0.80282,1.0293,0.92426,0.9135,0.95617,0.81863,0.59662,0.64427,0.97389,0.0003169,0.0003169,0.0003169
71,4011.27,0.66123,0.80164,1.02264,0.94332,0.91106,0.9555,0.81723,0.60013,0.64745,0.97386,0.000307,0.000307,0.000307
72,4063.76,0.65287,0.79936,1.02727,0.92337,0.92335,0.95804,0.81819,0.59862,0.6397,0.97372,0.0002971,0.0002971,0.0002971
73,4127.15,0.65777,0.79258,1.02143,0.93602,0.91625,0.95881,0.82192,0.59758,0.63341,0.97394,0.0002872,0.0002872,0.0002872
74,4180.73,0.64695,0.78584,1.01557,0.93278,0.91688,0.95767,0.81878,0.60041,0.64176,0.97402,0.0002773,0.0002773,0.0002773
75,4244.12,0.66057,0.79093,1.02358,0.93241,0.92343,0.96035,0.82524,0.59107,0.62624,0.97049,0.0002674,0.0002674,0.0002674
76,4311.8,0.6539,0.7875,1.0224,0.94375,0.90493,0.95945,0.82558,0.58963,0.63351,0.96869,0.0002575,0.0002575,0.0002575
77,4364.37,0.65916,0.78675,1.02304,0.94499,0.91021,0.96029,0.82275,0.58805,0.62475,0.97019,0.0002476,0.0002476,0.0002476
78,4416.82,0.64603,0.78593,1.02372,0.94166,0.91355,0.9593,0.82349,0.59051,0.62847,0.96825,0.0002377,0.0002377,0.0002377
79,4469.51,0.65064,0.78183,1.01847,0.94235,0.91714,0.96211,0.82609,0.58802,0.62155,0.96911,0.0002278,0.0002278,0.0002278
80,4543.53,0.65371,0.78456,1.02368,0.93614,0.91721,0.95974,0.82731,0.58396,0.62266,0.96695,0.0002179,0.0002179,0.0002179
81,4595.69,0.65578,0.78575,1.02761,0.94013,0.92395,0.96175,0.82949,0.58316,0.6129,0.96658,0.000208,0.000208,0.000208
82,4658.82,0.65187,0.76587,1.01795,0.93625,0.92534,0.96018,0.82681,0.58209,0.62017,0.96438,0.0001981,0.0001981,0.0001981
83,4722.8,0.6464,0.7793,1.0225,0.93303,0.92704,0.95993,0.82642,0.58039,0.61541,0.96458,0.0001882,0.0001882,0.0001882
84,4775.59,0.64542,0.76618,1.0153,0.94422,0.92184,0.96113,0.82845,0.57812,0.61188,0.9622,0.0001783,0.0001783,0.0001783
85,4830.73,0.64085,0.75996,1.01706,0.93866,0.923,0.96179,0.82933,0.57964,0.61617,0.96251,0.0001684,0.0001684,0.0001684
86,4883.98,0.64961,0.77554,1.01838,0.93049,0.92922,0.96087,0.82947,0.57918,0.61874,0.96331,0.0001585,0.0001585,0.0001585
87,4936.94,0.63495,0.75274,1.01415,0.93488,0.9254,0.96391,0.83078,0.57689,0.60814,0.96257,0.0001486,0.0001486,0.0001486
88,5000.61,0.64019,0.76742,1.01891,0.94226,0.92235,0.96342,0.83076,0.57746,0.60601,0.96149,0.0001387,0.0001387,0.0001387
89,5053.33,0.64065,0.7558,1.01152,0.94606,0.91991,0.96388,0.83343,0.57497,0.60845,0.96053,0.0001288,0.0001288,0.0001288
90,5105.54,0.64024,0.75856,1.01803,0.94366,0.92221,0.96363,0.83258,0.57388,0.60491,0.96077,0.0001189,0.0001189,0.0001189
91,5186.03,0.58388,0.92152,0.97903,0.93567,0.89585,0.95636,0.81597,0.599,0.65844,0.97384,0.000109,0.000109,0.000109
92,5256.27,0.56468,0.86884,0.96909,0.93481,0.91486,0.95817,0.81847,0.5966,0.64186,0.97154,9.91e-05,9.91e-05,9.91e-05
93,5329.6,0.55941,0.84596,0.97284,0.93524,0.92291,0.95971,0.82489,0.58785,0.62783,0.96597,8.92e-05,8.92e-05,8.92e-05
94,5379.55,0.56201,0.84748,0.96364,0.94579,0.9201,0.96011,0.8259,0.58585,0.61913,0.9648,7.93e-05,7.93e-05,7.93e-05
95,5428.82,0.55423,0.84075,0.96071,0.9419,0.91605,0.96003,0.8243,0.58368,0.61913,0.96352,6.94e-05,6.94e-05,6.94e-05
96,5477.76,0.55741,0.82497,0.96261,0.94291,0.91209,0.95925,0.82397,0.58448,0.62059,0.96279,5.95e-05,5.95e-05,5.95e-05
97,5527.01,0.56256,0.82578,0.96932,0.94201,0.91967,0.95992,0.82391,0.58175,0.62142,0.9617,4.96e-05,4.96e-05,4.96e-05
98,5599.71,0.55229,0.81525,0.96192,0.93672,0.92185,0.9608,0.8286,0.57798,0.60976,0.96052,3.97e-05,3.97e-05,3.97e-05
99,5649.77,0.55306,0.81359,0.96285,0.93487,0.92714,0.96159,0.83017,0.57721,0.60917,0.96076,2.98e-05,2.98e-05,2.98e-05
100,5709.9,0.55285,0.82331,0.95902,0.94835,0.91568,0.96044,0.82715,0.57753,0.60969,0.96043,1.99e-05,1.99e-05,1.99e-05
